close,datetime,high,low,open,symbol,volume
279,103.39,1548396000000,104.31,102.74,103.51,JPM,14412559
280,103.88,1548655200000,104.24,102.59,102.89,JPM,12283089
281,104.17,1548741600000,105.11,103.7301,103.88,JPM,9743271
282,104.41,1548828000000,105.24,103.78,104.14,JPM,12526274
283,103.5,1548914400000,103.8,102.73,103.41,JPM,17520551
284,103.88,1549000800000,104.8455,103.52,104.0,JPM,13000780
285,104.25,1549260000000,104.25,103.01,103.79,JPM,9871549
286,103.79,1549346400000,104.55,103.29,104.52,JPM,12762982
287,103.74,1549432800000,104.62,103.465,103.71,JPM,8744957
288,102.38,1549519200000,103.5,101.44,103.25,JPM,13177489
289,101.36,1549605600000,102.335,100.06,102.08,JPM,12892562
290,100.88,1549864800000,102.01,100.771,101.76,JPM,10978516
291,102.6,1549951200000,102.92,101.89,101.95,JPM,12852252
292,103.09,1550037600000,103.85,102.9,102.9,JPM,10754061
293,102.42,1550124000000,103.1,101.35,102.47,JPM,11518530
294,105.55,1550210400000,105.7,103.66,103.9,JPM,14716861
295,105.18,1550556000000,105.37,103.81,104.91,JPM,12764888
296,105.69,1550642400000,105.8,104.875,105.21,JPM,10030326
297,105.47,1550728800000,105.99,104.96,105.45,JPM,8400075
298,105.0,1550815200000,106.09,104.775,105.7,JPM,10647258
299,106.1,1551074400000,107.27,105.69,105.75,JPM,11230679
300,105.29,1551160800000,105.47,103.94,104.5,JPM,15465393
301,105.16,1551247200000,105.38,104.505,105.18,JPM,9968822
302,104.36,1551333600000,105.21,104.18,105.01,JPM,15156850
303,104.43,1551420000000,105.905,104.2,105.1,JPM,13813310
304,104.19,1551679200000,105.9155,103.2668,104.92,JPM,12466285
305,104.11,1551765600000,104.55,103.26,104.13,JPM,10856646
306,103.72,1551852000000,104.57,103.55,103.86,JPM,9070782
307,102.97,1551938400000,103.47,102.16,103.25,JPM,12705739
308,103.01,1552024800000,103.23,101.99,101.99,JPM,10582371
309,104.35,1552280400000,104.545,103.66,103.98,JPM,9763235
310,104.04,1552366800000,104.79,103.7544,104.59,JPM,10219100
311,104.39,1552453200000,104.98,103.95,104.19,JPM,13022241
312,105.34,1552539600000,105.87,104.46,104.5,JPM,10926470
313,106.55,1552626000000,106.8,105.23,105.41,JPM,24811730
314,107.19,1552885200000,107.785,106.5,106.55,JPM,12935514
315,106.8,1552971600000,108.4,106.55,108.2,JPM,12889267
316,104.52,1553058000000,106.65,104.41,106.43,JPM,14920658
317,102.87,1553144400000,103.49,102.2804,103.49,JPM,19751044
318,99.76,1553230800000,102.32,99.52,101.82,JPM,31113709
319,98.93,1553490000000,100.57,98.09,99.59,JPM,21032295
320,99.92,1553576400000,100.4,98.82,99.82,JPM,15987129
321,99.58,1553662800000,100.4499,99.08,99.88,JPM,12753234
322,100.71,1553749200000,100.8,99.74,100.0,JPM,12454070
323,101.23,1553835600000,101.99,100.585,101.54,JPM,14523395
324,104.64,1554094800000,104.68,102.12,102.15,JPM,17499280
325,105.14,1554181200000,105.44,104.33,104.6,JPM,10295539
326,105.35,1554267600000,106.36,104.785,105.81,JPM,11499209
327,105.56,1554354000000,105.73,104.45,104.55,JPM,11952078
328,105.31,1554440400000,106.11,104.99,105.8,JPM,9933660
329,105.65,1554699600000,105.65,104.91,105.11,JPM,8056282
330,104.87,1554786000000,105.2,104.25,105.08,JPM,9092188
331,105.34,1554872400000,105.715,104.47,105.13,JPM,10882304
332,106.23,1554958800000,106.73,105.56,105.71,JPM,11183845
333,111.21,1555045200000,111.85,108.88,109.44,JPM,25834073
334,109.94,1555304400000,111.0,109.12,110.92,JPM,15163815
335,111.1,1555390800000,111.39,109.86,109.9,JPM,11583232
336,114.3,1555477200000,114.66,111.01,111.7,JPM,17791890
337,113.46,1555563600000,114.945,113.33,114.53,JPM,12501949
338,113.6,1555909200000,113.93,112.6622,112.83,JPM,7975860
339,113.74,1555995600000,114.37,112.85,113.0,JPM,9193318
340,113.55,1556082000000,114.15,112.81,113.26,JPM,9245743
341,113.61,1556168400000,114.145,112.5,113.01,JPM,9311768
342,114.47,1556254800000,114.58,113.6,113.95,JPM,7889519
343,116.12,1556514000000,117.155,114.445,114.6,JPM,14242237
344,116.05,1556600400000,116.724,115.26,116.43,JPM,11389147
345,115.16,1556686800000,117.0,115.11,115.72,JPM,10412881
346,115.41,1556773200000,115.7753,114.58,115.17,JPM,8613305
347,116.12,1556859600000,116.68,115.67,116.0,JPM,8185409
348,115.09,1557118800000,115.47,113.72,114.18,JPM,9387010
349,113.21,1557205200000,114.03,112.285,114.03,JPM,15017725
350,112.61,1557291600000,113.67,112.46,112.66,JPM,9576075
351,112.52,1557378000000,112.74,110.58,111.14,JPM,12205866
352,112.51,1557464400000,112.84,110.54,111.75,JPM,13189381
353,109.45,1557723600000,110.45,108.98,110.08,JPM,13783652
354,110.32,1557810000000,111.72,109.5,109.55,JPM,10503672
355,109.9,1557896400000,110.8958,108.61,109.21,JPM,10142048
356,111.31,1557982800000,112.17,110.59,110.62,JPM,9672729
357,110.77,1558069200000,111.75,109.8257,110.0,JPM,9570477
358,111.35,1558328400000,111.81,110.37,110.58,JPM,8518244
359,111.73,1558414800000,111.92,111.215,111.44,JPM,7967976
360,110.82,1558501200000,111.79,110.75,111.4,JPM,7918898
361,108.64,1558587600000,109.79,107.5,109.64,JPM,14557969
362,109.71,1558674000000,109.96,109.19,109.52,JPM,8537252
363,108.52,1559019600000,109.83,108.44,109.2,JPM,11665579
364,108.22,1559106000000,108.4,107.06,107.45,JPM,9966365
365,107.06,1559192400000,109.18,106.54,108.65,JPM,10367822
366,105.96,1559278800000,106.589,104.84,105.56,JPM,10952857
367,106.46,1559538000000,106.86,105.3,105.8,JPM,11680745
368,109.74,1559624400000,109.9,107.13,107.85,JPM,12858587
369,110.13,1559710800000,110.38,108.6376,109.86,JPM,8340484
370,110.37,1559797200000,110.87,108.9307,110.15,JPM,8726664
371,109.16,1559883600000,110.02,108.96,109.7,JPM,10618932
372,110.34,1560142800000,111.21,110.215,110.75,JPM,11380602
373,110.68,1560229200000,111.57,110.37,110.82,JPM,9847999
374,109.27,1560315600000,110.9,108.89,110.7,JPM,9670511
375,109.54,1560402000000,110.16,109.05,109.46,JPM,8406903
376,109.82,1560488400000,110.3027,108.63,109.57,JPM,9077685
377,109.22,1560747600000,110.37,109.06,109.7,JPM,8128583
378,110.71,1560834000000,111.405,108.98,109.01,JPM,11057340
379,109.91,1560920400000,111.59,109.695,110.82,JPM,13126542
380,110.19,1561006800000,111.085,109.0331,110.88,JPM,13638199
381,109.44,1561093200000,111.67,109.09,110.19,JPM,27089546
382,108.66,1561352400000,109.77,108.535,109.28,JPM,13039577
383,107.76,1561438800000,108.98,107.67,108.68,JPM,18660111
